Text Chunk,Question,Answer
,什么是“大语言模型”？,大语言模型是一种基于深度学习的人工智能模型，能够理解和生成人类语言。
" 平安银行股份有限公司

2019 年年度报告

重要提示

1、本行董事会、监事会及董事、监事、高级管理人员保证年度报告内容的真实、准确、完整，

不存在虚假记载、误导性陈述或重大遗漏，并承担个别和连带的法律责任。

2、本行第十一届董事会第五次会议审议了 2019 年年度报告正文及摘要。本次董事会会议应出

席董事 15 人，实到董事 15 人。会议一致同意本报告。

3、普华永道中天会计师事务所（特殊普通合伙）根据国内审计准则对本行 2019 年度财务报告

进行了审计，并出具了标准无保留意见的审计报告。

4、本行董事长谢永林、行长胡跃飞、首席财务官项有志、会计机构负责人朱培卿保证 2",普华永道中天会计师事务所对平安银行2019年度财务报告出具了何种意见的审计报告？,标准无保留意见的审计报告。
"表业经本公司董事会于2020年2月13日决议批准。

二、 重要会计政策和会计估计

1. 编制基础

本财务报表按照中华人民共和国财政部(以下简称“财政部”)于2006年2月15日及以后期间颁布的《企业会 计准则——基本准则》、各项具体会计准则、其后颁布的企业会计准则应用指南、企业会计准则解释及其 他相关规定(以下合称“企业会计准则”)以及中国证券监督管理委员会(以下简称“证监会”)《公开发行证券的 公司信息披露编报规则第15号——财务报告的一般规定》的披露规定编制。

本财务报表以持续经营为基础编制。

141

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单",该财务报表的编制依据了哪些主要规定和准则？,该财务报表依据中华人民共和国财政部颁布的《企业会计准则——基本准则》、各项具体会计准则、应用指南、解释及其他相关规定，以及中国证券监督管理委员会《公开发行证券的公司信息披露编报规则第15号——财务报告的一般规定》编制。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

2. 遵循企业会计准则的声明

本财务报表符合企业会计准则的要求，真实、完整地反映了本公司于2019年12月31日的财务状况以及 2019年度的经营成果和现金流量等有关信息。

3. 会计年度

本公司的会计年度自公历1月1日起至12月31日止。

4. 记账本位币

本公司境内分行的记账本位币为人民币，境外分行根据其经营所处的主要经济环境中的货币确定其记账本

位币。本公司编制本财务报表所采用的货币为人民币。除有特别说明外，本财务报表均以人民币百万元为

单位列示。

5.",本公司的会计年度是如何规定的？,本公司的会计年度自公历1月1日起至12月31日止。
"表所采用的货币为人民币。除有特别说明外，本财务报表均以人民币百万元为

单位列示。

5. 记账基础和计价原则

本公司的会计核算以权责发生制为基础，除交易性金融资产/负债、衍生金融工具、以公允价值计量且其

变动计入其他综合收益的拆出资金、以公允价值计量且其变动计入其他综合收益的发放贷款和垫款、其他

债权投资和其他权益工具投资等以公允价值计量外，其余均以历史成本为计价原则。资产如果发生减值，

则按照相关规定计提相应的减值准备。

6.",本公司的会计核算以什么为基础？,权责发生制。
"余均以历史成本为计价原则。资产如果发生减值，

则按照相关规定计提相应的减值准备。

6. 企业合并及合并财务报表

企业合并指将两个或两个以上单独的企业合并形成一个报告主体的交易或事项。企业合并分为同一控制下

企业合并和非同一控制下企业合并。

同一控制下的企业合并

参与合并的企业在合并前后均受同一方或相同的多方最终控制，且该控制并非暂时性的，为同一控制下的

企业合并。同一控制下的企业合并，在合并日取得对其他参与合并企业控制权的一方为合并方，参与合并

的其他企业为被合并方。合并日指合并方实际取得对被合并方控制权的日期。

合并方支付的合并对价及取得的净资产均按账面价值计量。合并方取得",同一控制下的企业合并中，合并方支付的合并对价及取得的净资产按什么价值计量？,按账面价值计量。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

6. 企业合并及合并财务报表(续)

非同一控制下的企业合并

参与合并的企业在合并前后不受同一方或相同的多方最终控制的，为非同一控制下的企业合并。非同一控

制下的企业合并，在购买日取得对其他参与合并企业控制权的一方为购买方，参与合并的其他企业为被购

买方。购买日为购买方实际取得对被购买方控制权的日期。

非同一控制下企业合并中所取得的被购买方可辨认净资产按照可辨认资产、负债及或有负债在购买日的公

允价值计量。

购买方发生的合并成本及在合并中取得的可辨认净资产按购买日的公允价值计量。合并成本大于合并中",什么是非同一控制下的企业合并？,非同一控制下的企业合并是指参与合并的企业在合并前后不受同一方或相同的多方最终控制。在合并中，购买日是购买方实际取得对被购买方控制权的日期，购买方为取得控制权的一方，被购买方为参与合并的其他企业。合并中取得的被购买方可辨认净资产按购买日的公允价值计量。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

7. 外币折算

本公司对于发生的外币交易，将外币金额折算为记账本位币金额。

外币交易在初始确认时，采用交易发生日的即期汇率将外币金额折算为记账本位币金额。于资产负债表日，

对于外币货币性项目采用资产负债表日即期汇率折算，由此产生的结算和货币性项目折算差额计入利润表

的“汇兑损益”或“其他综合收益”。以历史成本计量的外币非货币性项目按初始交易日的汇率折算；以公允 价值计量的外币非货币性项目以公允价值确认日的即期汇率折算，由此产生的差额根据非货币性项目的性

质计入利润表的“汇兑损益”或“其他综合收益”。",在资产负债表日，外币货币性项目采用何种汇率进行折算，由此产生的差额计入何处？,采用资产负债表日即期汇率折算，由此产生的结算和货币性项目折算差额计入利润表的“汇兑损益”或“其他综合收益”。
"采用现金流量发生日的即期汇率折算。汇率变动对现金的影响额，在现金流量表中单独列示。

8. 贵金属

贵金属主要包括黄金。本公司非交易性贵金属按照取得时的成本进行初始计量，以成本与可变现净值较低

者进行后续计量。本公司为交易目的而获得的贵金属按照取得时的公允价值进行初始确认，并以公允价值

于资产负债表日进行后续计量，相关变动计入当期损益。

9.",贵金属在资产负债表日如何计量？,非交易性贵金属以成本与可变现净值较低者进行后续计量；为交易目的而持有的贵金属以公允价值进行后续计量，其变动计入当期损益。
"值进行初始确认，并以公允价值

于资产负债表日进行后续计量，相关变动计入当期损益。

9. 金融资产和金融负债

(i)

金融工具的初始确认和计量

当本公司成为金融工具合同的一方时，确认相关的金融资产或金融负债。

于初始确认时，本公司按公允价值计量金融资产或金融负债，对于不是以公允价值计量且其变动计入当期

损益的金融资产或金融负债，则还应该加上或减去可直接归属于获得或发行该金融资产或金融负债的交易

费用，例如手续费和佣金。以公允价值计量且其变动计入当期损益的金融资产和金融负债的交易费用作为

费用计入损益。初始确认后，对于以摊余成本计量的金融资产以及以公允价值计量且其变动计入其他综合",金融工具的初始确认和计量是在何时进行的，其计量基础是什么？,当公司成为金融工具合同的一方时，确认相关的金融资产或金融负债。于初始确认时，公司按公允价值计量金融资产或金融负债。对于不是以公允价值计量且其变动计入当期损益的金融工具，其初始计量金额还应加上或减去可直接归属于获得或发行该金融工具的交易费用。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(ii)

金融资产的分类及后续计量

分类

本公司将其金融资产分为以下类别：

以公允价值计量且变动计入当期损益的金融资产 - 以公允价值计量且变动计入其他综合收益的金融资产 - 以摊余成本计量的金融资产

分类取决于管理金融资产的业务模式以及金融资产的合同现金流量特征。

业务模式反映了本公司如何管理其金融资产以产生现金流。也就是说，本公司的目标是仅为收取资产的合 同现金流量，还是既以收取合同现金流量为目标又以出售金融资产为目标。如果以上两种情况都不适用(例 如，以交易",根据文本，金融资产的分类取决于哪些关键因素？,金融资产的分类取决于管理金融资产的业务模式以及金融资产的合同现金流量特征。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(ii)

金融资产的分类及后续计量(续)

后续计量(续)

债务工具(续)

以摊余成本计量(续)：对于金融资产的摊余成本，应当以该金融资产的初始确认金额经下列调整 后的结果确定：(i)扣除已偿还的本金；(ii)加上或减去采用实际利率法将该初始确认金额与到期日 金额之间的差额进行摊销形成的累计摊销额；(iii)扣除累计计提的损失准备(仅适用于金融资产)。 本公司采用实际利率法计算该资产的利息收入，并列示为“利息收入”。

实际利率，是指将金融资产或金融负债在预计存续期的估",根据文本，金融资产的摊余成本是如何确定的？,金融资产的摊余成本以该金融资产的初始确认金额经下列调整后的结果确定：(i)扣除已偿还的本金；(ii)加上或减去采用实际利率法将该初始确认金额与到期日金额之间的差额进行摊销形成的累计摊销额；(iii)扣除累计计提的损失准备（仅适用于金融资产）。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(ii)

金融资产的分类及后续计量(续)

后续计量(续)

权益工具

权益工具是指从发行方角度分析符合权益定义的工具；即不包含付款的合同义务且享有发行人净资产和剩 余收益的工具，例如普通股。

本公司投资的所有权益工具投资后续以公允价值计量。本公司将非交易性权益工具投资指定为以公允价值 计量且其变动计入其他综合收益的权益工具投资，在资产负债表中列示为“其他权益工具投资”。进行指 定后，公允价值变动在其他综合收益中进行确认，且后续不得重分类至损益(包括处置时)。作为投资回",根据文本，本公司将非交易性权益工具投资指定为以公允价值计量且其变动计入其他综合收益后，其公允价值变动在何处进行确认，并且后续是否可以重分类至损益？,公允价值变动在其他综合收益中进行确认，且后续不得重分类至损益(包括处置时)。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(iii)

金融负债的分类及后续计量(续)

可转换公司债券

可转换公司债券包括负债部份和权益部份。负债组成部分体现了支付固定本息义务，被分类为负债并在初 始确认时按照未嵌入可转换期权的同类债券的市场利率计算其公允价值，并采用实际利率法，按照摊余成 本进行后续计量。权益组成部分体现了将负债转换成普通股的嵌入期权，按照可转换公司债券的整体发行 所得与其负债组成部分的差额计入所有者权益。所有直接的交易费用按照负债和权益组成部分占发行所得 的比例分摊。

当可转换公司债券转换为",根据文本，可转换公司债券的负债组成部分是如何进行初始确认和后续计量的？,负债组成部分在初始确认时按照未嵌入可转换期权的同类债券的市场利率计算其公允价值，并采用实际利率法，按照摊余成本进行后续计量。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(v)

贷款合同修改

本公司有时会重新商定或修改客户贷款的合同，导致合同现金流量发生变化。出现这种情况时，本公司会 评估修改后的合同条款是否发生了实质性的变化。本公司在进行评估时考虑的因素包括：

(1) 当合同修改发生在借款人出现财务困难时，该修改是否仅将合同现金流量减少为预期借款人能够清偿

的金额；

(2) 是否新增了任何实质性的条款，例如增加了分享利润/权益性回报的条款，导致合同的风险特征发生了

实质性变化；

(3) 在借款人并未出现财务困难的情况下，大幅延",根据文本，当贷款合同修改发生在借款人出现财务困难时，本公司评估修改后的合同条款是否发生实质性变化会考虑哪一项具体因素？,该修改是否仅将合同现金流量减少为预期借款人能够清偿的金额。
" (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

9. 金融资产和金融负债(续)

(vi)

除合同修改以外的终止确认

当收取金融资产现金流量的合同权利已到期，或该权利已转移且(i)本公司转移了金融资产所有权上几乎所 有的风险和报酬；或(ii)本公司既未转移也未保留金融资产所有权上几乎所有风险和报酬，且本公司并未保 留对该资产的控制，则本公司终止确认金融资产或金融资产的一部分。

在某些交易中，本公司保留了收取现金流量的合同权利，但承担了将收取的现金流支付给最终收款方的合 同义务，并已转移了金融资产所有权上几乎所有的风险和报酬。在这种情况下，如果本公司满",根据文本，在何种情况下本公司会终止确认金融资产或金融资产的一部分？,当收取金融资产现金流量的合同权利已到期，或该权利已转移且(i)本公司转移了金融资产所有权上几乎所有的风险和报酬；或(ii)本公司既未转移也未保留金融资产所有权上几乎所有风险和报酬，且本公司并未保留对该资产的控制。
"价值 计量，被转移资产和相关负债的账面净额等于本公司保留的权利或义务的公允价值。

10. 财务担保合同和贷款承诺

根据合同约定，当特定的债务人无法偿债时，财务担保合同的签发人必须向持有人补偿相关损失。

财务担保合同初始以公允价值计量，后续按以下两项孰高进行计量：

按照附注二、9(iv)中的方式计算的减值准备金额； • 初始确认金额减去按照《企业会计准则第 14 号——收入》确认的收入。

本公司提供的信用承诺按照附注二、9(iv)计算的减值准备金额进行计量。

本公司并未承诺以任何低于市场利率的价格发放贷款，也不以支付现金或发行其他金融工具作为贷款承诺 的净结算。

150

平安银行",财务担保合同在初始计量后，后续如何计量？,后续按照以下两项孰高进行计量：按照附注二、9(iv)中的方式计算的减值准备金额；以及初始确认金额减去按照《企业会计准则第 14 号——收入》确认的收入。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

11. 衍生金融工具

衍生金融工具指一种金融产品，其价值取决于其所依附的另一种“基础性”金融产品指数或其他变量的价值。 通常这些“基础性”产品包括股票、大宗商品、债券市价、指数市价或汇率及利率等。本公司运用的衍生金 融工具包括外汇类、利率类及贵金属及其他类衍生工具。

衍生工具于合同签订之日进行初始确认并按公允价值进行初始和后续计量。衍生工具的公允价值为正反映 为资产，为负反映为负债。

某些衍生工具被嵌入混合合同中，如可转换公司债券中的转股权、结构性存款中嵌入的与利率等挂钩的利 息支付额。对于主合同是金融资",本公司在衍生金融工具的初始确认和后续计量中采用什么计量属性？,衍生工具于合同签订之日进行初始确认并按公允价值进行初始和后续计量。
"者选择将主合同并 非金融资产的混合合同指定为以公允价值计量且其变动计入当期损益。

12. 金融工具的抵销

金融资产和金融负债应当在资产负债表内分别列示，不得相互抵销。但是，同时满足下列条件的，应当以 相互抵销后的净额在资产负债表内列示：

(i) (ii)

企业具有抵销已确认金额的法定权利，且该种法定权利现在是可执行的； 企业计划以净额结算，或同时变现该金融资产和清偿该金融负债。

不满足终止确认条件的金融资产转移，转出方不得将已转移的金融资产和相关负债进行抵销。

151

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单位均为人民币百万元)

二、 重要会",在什么情况下，金融资产和金融负债可以在资产负债表内以相互抵销后的净额列示？,需要同时满足两个条件：1. 企业具有抵销已确认金额的法定权利，且该种法定权利现在是可执行的；2. 企业计划以净额结算，或同时变现该金融资产和清偿该金融负债。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

13. 权益工具

权益工具是能证明拥有本公司在扣除所有负债后的资产中的剩余权益的合同。

同时满足下列条件的，应当将发行的金融工具分类为权益工具：(1)该金融工具不包括交付现金或其他金 融资产给其他方，或在潜在不利条件下与其他方交换金融资产或金融负债的合同义务；(2)将来须用或可 用自身权益工具结算该金融工具的，如该金融工具为非衍生工具，不包括交付可变数量的自身权益工具进 行结算的合同义务；如为衍生工具，只能通过以固定数量的自身权益工具交换固定金额的现金或其他金融 资产结算该金融工具。

本公司发行的其他权益",根据文本，满足哪两个条件时，应将发行的金融工具分类为权益工具？,应当将发行的金融工具分类为权益工具的条件为：(1)该金融工具不包括交付现金或其他金融资产给其他方，或在潜在不利条件下与其他方交换金融资产或金融负债的合同义务；(2)将来须用或可用自身权益工具结算该金融工具的，如该金融工具为非衍生工具，不包括交付可变数量的自身权益工具进行结算的合同义务；如为衍生工具，只能通过以固定数量的自身权益工具交换固定金额的现金或其他金融资产结算该金融工具。
"易的交易费用后的金额确认。

其他权益工具存续期间分派股利的，作为利润分配处理。

14. 投资性房地产

投资性房地产是指为赚取租金或资本增值，或者两者兼有而持有的房地产。本公司的投资性房地产主要是

已出租的建筑物及相应的土地使用权。投资性房地产仅在与其有关的经济利益很可能流入本公司，且其成

本能够可靠地计量时予以确认。

投资性房地产按成本进行初始计量，并采用成本模式进行后续计量。投资性房地产的折旧采用年限平均法

计提。

使用寿命

预计净残值率

年折旧率

房屋及建筑物

15-35年

1%-5%

2.7%-6.6%

15.",根据文本，投资性房地产采用什么模式进行后续计量？,成本模式。
"

年折旧率

房屋及建筑物

15-35年

1%-5%

2.7%-6.6%

15. 固定资产及累计折旧

(i)

固定资产确认

固定资产仅在与其有关的经济利益很可能流入本公司，并且该固定资产的成本能够可靠地计量时才能予以

确认。

与固定资产有关的后续支出，符合以上确认条件的，计入固定资产成本，并终止确认被替换部分的账面价

值；否则，在发生时计入当期损益。

152

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

15.",在平安银行2019年度财务报表中，固定资产的年折旧率范围是多少？,年折旧率为1%至5%。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

15. 固定资产及累计折旧(续)

(ii)

固定资产计价及折旧

本公司固定资产按照取得时的实际成本进行初始计量。固定资产按历史成本减累计折旧及减值准备列示。

历史成本包括购买价款、相关税费、使该项资产达到预定可使用状态前所发生的可归属于该项资产的运输

费、装卸费、安装费和专业人员服务费等。

固定资产折旧采用年限平均法计算，本公司根据固定资产的性质和使用情况，合理确定固定资产的使用寿

命和预计净残值。

使用寿命

预计净残值率

年折旧率

房屋及建筑物

其中：房产

15-35年

1%-5%",根据文本，固定资产的折旧计算采用什么方法？,年限平均法。
"产负债表日均对固定资产的使用寿命、预计净残值和折旧方法进行复核，必要时进行调整。

16. 在建工程

在建工程成本按实际工程支出确定，包括在建期间发生的各项必要工程支出以及其他相关费用。在建工程

不计提折旧。

在建工程达到预定可使用状态时转列为相关类别的固定资产或长期待摊费用。当在建工程的可收回金额低

于其账面价值时，账面价值减计至可回收金额。

153

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

17.",平安银行股份有限公司2019年度财务报表附注中，关于在建工程的会计政策是如何规定其成本确认的？,在建工程成本按实际工程支出确定，包括在建期间发生的各项必要工程支出以及其他相关费用。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

17. 无形资产

无形资产是指本公司拥有或者控制的没有实物形态的可辨认非货币性资产。

无形资产仅在与其有关的经济利益很可能流入本公司，且其成本能够可靠地计量时才予以确认，并以成本

进行初始计量。但企业合并中取得的无形资产，其公允价值能够可靠地计量的，即单独确认为无形资产并

按照公允价值计量。无形资产按照其能为本公司带来经济利益的期限确定使用寿命，无法预见其为本公司

带来经济利益期限的作为使用寿命不确定的无形资产。

使用寿命有限的无形资产，在其使用寿命内采用直线法摊销。

使用寿命

年折旧率

软件",根据文本，无形资产在什么情况下会被确认为使用寿命不确定的无形资产？,无法预见其为本公司带来经济利益期限时，被作为使用寿命不确定的无形资产。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

18. 长期待摊费用

长期待摊费用是指已经发生，但摊销期限在一年以上(不含一年)的各项费用，主要包括租入固定资产改良 支出等。

长期待摊费用根据合同或协议期限与受益期限孰短原则确定摊销期限，并平均摊销。

如果长期待摊的费用项目不能使以后会计期间受益的，将尚未摊销的项目的摊余价值全部转入当期损益。

19. 抵债资产

抵债资产按其公允价值进行初始确认，初始公允价值与相关贷款本金和已确认的利息及减值准备的差额计

入当期损益。于资产负债表日，抵债资产按照账面价值与可收回金额孰低计量，当可收回金额低于账面价
",长期待摊费用的摊销期限是如何确定的？,"根据合同或协议期限与受益期限孰短原则确定摊销期限，并平均摊销。

Question: 在什么情况下，长期待摊费用的摊余价值需要转入当期损益？
Answer: 如果长期待摊的费用项目不能使以后会计期间受益，则将尚未摊销的项目的摊余价值全部转入当期损益。

Question: 抵债资产的初始确认价值是如何确定的？
Answer: 抵债资产按其公允价值进行初始确认。

Question: 资产负债表日，抵债资产按照什么原则进行计量？
Answer: 于资产负债表日，抵债资产按照账面价值与可收回金额孰低计量。"
"额低于账面价

值时，对抵债资产计提减值准备，计入利润表的“其他资产减值损失”。

20. 资产减值

本公司对除金融资产及抵债资产外的资产减值，按以下方法确定：

本公司于资产负债表日判断资产是否存在可能发生减值的迹象，存在减值迹象的，本公司将估计其可收回

金额，进行减值测试。对因企业合并所形成的商誉和使用寿命不确定的无形资产，无论是否存在减值迹象，

至少于每年末进行减值测试。对于尚未达到可使用状态的无形资产，无论是否存在减值迹象，至少每年进 行减值测试。

可收回金额根据资产的公允价值减去处置费用后的净额与资产预计未来现金流量的现值两者之间较高者 确定。

当资产的可收回金额低于其账面",当资产的可收回金额低于其账面价值时，本公司如何进行会计处理？,对抵债资产计提减值准备，计入利润表的“其他资产减值损失”。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

20. 资产减值(续)

对包含商誉的相关资产组或者资产组组合进行减值测试时，如与商誉相关的资产组或者资产组组合存在减

值迹象的，首先对不包含商誉的资产组或者资产组组合进行减值测试，计算可收回金额，确认相应的减值

损失。然后对包含商誉的资产组或者资产组组合进行减值测试，比较其账面价值与可收回金额，如可收回

金额低于账面价值的，减值损失金额首先抵减分摊至资产组或者资产组组合中商誉的账面价值，再根据资

产组或者资产组组合中除商誉之外的其他各项资产的账面价值所占比重，按比例抵减其他各项资产的账面

价值。

",在对包含商誉的相关资产组或资产组组合进行减值测试时，如果存在减值迹象，应如何进行减值测试？,首先对不包含商誉的资产组或资产组组合进行减值测试，计算可收回金额并确认相应的减值损失。然后对包含商誉的资产组或资产组组合进行减值测试，比较其账面价值与可收回金额。如果可收回金额低于账面价值，减值损失金额首先抵减分摊至该资产组或资产组组合中商誉的账面价值，然后再根据资产组或资产组组合中除商誉之外的其他各项资产的账面价值所占比重，按比例抵减其他各项资产的账面价值。
"他各项资产的账面

价值。

上述资产减值损失一经确认，在以后会计期间不再转回。

21. 收入及支出的确认

收入与支出是在与交易相关的经济利益很可能流入或流出本公司，且有关收入或支出的金额能够可靠地计

量时，按以下基准确认：

利息收入和利息支出 利息收入是用实际利率乘以金融资产账面余额计算得出，以下情况除外：

(i)

对于源生或购入已发生信用减值的金融资产，其利息收入用经信用调整的原实际利率乘以该金融 资产摊余成本计算得出。

(ii)

不属于源生或购入已发生信用减值的金融资产，但后续已发生信用减值的金融资产(或“第三阶 段”)，其利息收入用实际利率乘以摊余成本(即，扣除损失准备",对于源生或购入已发生信用减值的金融资产，其利息收入是如何计算的？,其利息收入是用经信用调整的原实际利率乘以该金融资产的摊余成本计算得出。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

21. 收入及支出的确认(续)

手续费及佣金收入 本公司通过特定向客户提供各类服务收取手续费及佣金收入。手续费收入主要分为两类：

(i) 通过在特定时点或一定期间内提供服务收取的手续费及佣金

此类手续费在服务期间按权责发生制确认，主要包括佣金、资产管理费、托管费以及其他管理咨 询费。

(ii) 通过特定交易服务收取的手续费

因协商、参与协商第三方交易，例如收购股份或其他债券、买卖业务而获得的手续费和佣金于相 关交易完成时确认收入。与交易的效益相关的手续费和佣金在完成实际约定的条款后才确认收入。

本公",本公司通过特定交易服务收取的手续费及佣金在何时确认收入？,在相关交易完成时确认收入。如果手续费和佣金与交易的效益相关，则在完成实际约定的条款后才确认收入。
"分计入当期损益。

股利收入

股利收入于本公司获得收取股利的权利被确立时确认。

22. 政府补助

政府补助为本公司从政府无偿取得的货币性资产或非货币性资产，包括税费返还、财政补贴等。

政府补助在本公司能够满足其所附的条件并且能够收到时，予以确认。政府补助为货币性资产的，按照收

到或应收的金额计量。政府补助为非货币性资产的，按照公允价值计量；公允价值不能可靠取得的，按照

名义金额计量。

与资产相关的政府补助，是指本公司取得的、用于购建或以其他方式形成长期资产的政府补助。与收益相

关的政府补助，是指除与资产相关的政府补助之外的政府补助。

与资产相关的政府补助，冲减相关资产的账面价",政府补助在什么情况下予以确认？,政府补助在本公司能够满足其所附的条件并且能够收到时，予以确认。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

23. 所得税

所得税包括当期所得税和递延所得税。除由于企业合并产生的调整商誉，或与直接计入其他综合收益的交 易或者事项相关的所得税计入其他综合收益外，其他所得税均作为所得税费用或收益计入当期损益。

当期所得税 当期所得税是按照当期应纳税所得额计算的当期应交所得税金额。应纳税所得额系根据有关税法规定对当 期税前会计利润作相应调整后得出。

本公司对于当期和以前期间形成的当期所得税负债或资产，按照税法规定计算的预期应交纳或返还的所得 税金额计量。

递延所得税 本公司根据资产与负债于资产负债表日的账面价值与计",根据文本，所得税主要包括哪两部分，分别是什么？,所得税主要包括当期所得税和递延所得税。当期所得税是按照当期应纳税所得额计算的当期应交所得税金额；递延所得税则基于资产与负债在资产负债表日的账面价值与计税基础之间的暂时性差异进行确认。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

24. 职工薪酬

职工薪酬是本公司为获得职工提供的服务或解除劳动关系而给予的各种形式的报酬或补偿，包括短期薪 酬、离职后福利、辞退福利和其他长期职工福利等。

短期薪酬 短期薪酬包括工资、奖金、津贴和补贴、职工福利费、医疗保险费、工伤保险费、生育保险费、住房公积 金、工会和教育经费、短期带薪缺勤等。本公司在职工提供服务的会计期间，将实际发生的短期薪酬确认 为负债，并计入当期损益或相关资产成本。其中，非货币性福利按照公允价值计量。

离职后福利 本公司将离职后福利计划分类为设定提存计划和设定受益计划。设定提存计",根据文本，短期薪酬包括哪些组成部分？,短期薪酬包括工资、奖金、津贴和补贴、职工福利费、医疗保险费、工伤保险费、生育保险费、住房公积金、工会和教育经费、短期带薪缺勤等。
"些福利

为不注入资金的福利，其提供成本采用预期累积福利单位法进行精算评估确定。

25. 现金等价物

现金等价物是指本公司持有的期限短、流动性强、易于转换为已知金额现金、价值变动风险很小的货币性

资产，现金流量表所指的现金等价物包括期限短(一般从购买日起三个月内到期)的投资，存放中央银行的 非限定性款项，原到期日不超过三个月的存放同业及其他金融机构款项、拆出资金及买入返售金融资产。

26. 关联方

一方控制、共同控制另一方或对另一方施加重大影响，以及两方或两方以上同受一方控制、共同控制，构 成关联方。

159

平安银行股份有限公司

财务报表附注

2019年度 (除特别注明外，",什么是福利的精算评估方法？,预期累积福利单位法。
"(除特别注明外，金额单位均为人民币百万元)

二、 重要会计政策和会计估计(续)

27. 受托业务

本公司以被任命者、受托人或代理人等受托身份进行活动时，该委托活动所产生的资产与该资产偿还客户

的保证未包括在本报表。

本公司代表第三方贷款人发放委托贷款，记录在表外。本公司以代理人身份按照提供资金的委托人的指令

发放委托贷款给借款人。本公司与这些第三方贷款人签订合同，代表他们管理和回收贷款。委托贷款发放

的标准以及所有条件包括贷款目的、金额、利率和还款安排等，均由第三方贷款人决定。本公司对与这些

委托贷款有关的管理活动收取手续费，并在提供服务的期间内平均确认收入。委托贷款的损失风险",根据文本，本公司在进行受托业务时，如何处理委托活动所产生的资产以及代表第三方发放的委托贷款？,本公司进行受托业务时，委托活动所产生的资产及相关偿还客户的保证不包含在财务报表中。代表第三方贷款人发放的委托贷款记录在表外，本公司作为代理人按照委托人的指令进行发放和管理，并收取手续费，在服务期内平均确认收入。
"费，并在提供服务的期间内平均确认收入。委托贷款的损失风险由第三

方贷款人承担。

28. 租赁

租赁，是指在一定期间内，出租人将资产的使用权让与承租人以获取对价的合同。

本公司作为承租人

本公司于租赁期开始日确认使用权资产，并按尚未支付的租赁付款额的现值确认租赁负债。租赁付款额包 括固定付款额，以及在合理确定将行使购买选择权或终止租赁选择权的情况下需支付的款项等。按销售额 的一定比例确定的可变租金不纳入租赁付款额，在实际发生时计入当期损益。

本公司的使用权资产包括租入的房屋及建筑物。使用权资产按照成本进行初始计量，该成本包括租赁负债 的初始计量金额、租赁期开始日或之前已支付的租赁付款",本公司作为承租人，在租赁期开始日如何进行会计处理？,本公司于租赁期开始日确认使用权资产，并按尚未支付的租赁付款额的现值确认租赁负债。租赁付款额包括固定付款额，以及在合理确定将行使购买选择权或终止租赁选择权的情况下需支付的款项等。按销售额的一定比例确定的可变租金不纳入租赁付款额，在实际发生时计入当期损益。
